Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_III,v5,0.001,0.30812873665781093,0.1951219512195122,0.41436871041616774,0.969973783428044,0.9699140944408613,0.37455768820365154,0.1778846153846154,0.6134035967673614,0.9809307422175327,0.9808721205035417
Dataset_III,v6,10.0,0.9064845762423868,0.0,0.005,0.9999999999930131,0.9999999999930131,0.9064845762423868,0.0,0.005,0.9999999999930131,0.9999999999930131
Dataset_III,v6,1.0,0.9064845762423868,0.0,0.005,0.9999999999930131,0.9999999999930131,0.8561641481951286,0.18181818181818182,0.10450000000000001,0.9988613602953165,0.9988613602953165
Dataset_III,v6,0.1,0.3836166855774659,0.5507246376811594,0.3831000000000001,0.9813265635093984,0.9813265635093984,0.2799274490676107,0.5806451612903226,0.5276734607521514,0.9764372169797501,0.9764363523266452
Dataset_III,v6,0.01,0.2502298949634362,0.2549019607843137,0.5025814346366447,0.9724433914884417,0.9724229917931266,0.2809165347177855,0.22727272727272727,0.5585054591453907,0.9749928335889153,0.9749645686485588
Dataset_III,v6,0.001,0.26452209381991526,0.21774193548387097,0.5070068742472836,0.9721879161974669,0.9721557441704648,0.3823427725128919,0.15526802218114602,0.6544493802927082,0.9816742784022523,0.9816276784188727
Dataset_III,v7,10.0,0.9401010710308442,0.0,0.005,0.9999999999924144,0.9999999999924144,0.9401010710308442,0.0,0.005,0.9999999999924144,0.9999999999924144
Dataset_III,v7,1.0,0.9401010710308442,0.0,0.005,0.9999999999924144,0.9999999999924144,0.9182122043438347,0.11320754716981132,0.0647,0.9989099179863695,0.9989099179863694
Dataset_III,v7,0.1,0.38377702291114296,0.4307692307692308,0.2808380952380953,0.9710686855928585,0.9710684889765623,0.2833375307338761,0.5544554455445545,0.5482030235716276,0.9698495083152423,0.9698470698790094
Dataset_III,v7,0.01,0.2189721969874367,0.21890547263681592,0.377678748946427,0.9625544038857372,0.9625199715631265,0.2424409008783818,0.20689655172413793,0.5037874563972247,0.9682442062093557,0.9682020471701192
Dataset_III,v7,0.001,0.22801808040223437,0.16326530612244897,0.3628854775828461,0.9624160200316922,0.9623652669902573,0.33569187800927824,0.1596244131455399,0.5717010878135173,0.9766345764352441,0.9765790220931254
